SKU,Description,Price,UOM,Family,Product,Type,Item,Dielectric,Noise Reduction Rating NRR,Radio Band Type,Ear Muff Style,Ear Muff Cup Color,Series,Features,Standards,For Use With,Disposable/ Reusable,Insertion Method,Metal Detectable,Ear Plug Color,Ear Plug Material,Ear Plug Shape,Ear Plug Size,Cord Options,Band Color - Hearing Protection,Cord Color,Cord Material - Hearing Protection,Pairs Per Package,Ear Plug Packaging,Ear Plug Pair Pack Type,Band Material - Hearing Protection,Material - Ear Plug Dispensers,Height - Ear Plug Dispensers,Width - Ear Plug Dispensers,Depth - Ear Plug Dispensers,Mounting Style - Ear Plug Dispensers,Dispenser Lid Style,Includes,Capacity - Pairs of Ear Plugs,Green Environmental Attribute,Ear Muff Cushion Material,Ear Muff Type,Compatible Earmuff,Compatible Mfg. Model Number,Replacement Pad Grainger Part Number,Weight,Mounting Hole Center to Center,Number of Mounting Holes,Battery Type,Auxiliary Input,Compatible Dispensing System,Compatible Grainger Part Number,Compatible Banded Earplug,Headset Style,In Ear / On Ear / Over Ear LOV,One Ear / Two Ear,Volume Control,Push To Talk,Noise Canceling,Color,Batteries Included,Battery Size,Number of Batteries,Wired Connection Type,Connection Type - Head Protection,Cable Style,Frequency Range,System Requirements,Green Certification or Other Recognition,Ear Muff Cup Material
2NFC7,"Cylinder Ear Plugs,  33dB Noise Reduction Rating NRR,  Corded,  L,  Yellow,  PK 200",$114.43 ,/ pkg. of 200,safety,hearing-protection,"ear-plugs-metal-detectable"">Ear",Ear Plugs,,33dB,,,,E-A-R(TM) Classic(TM),,ANSI S3.19-1974,,Disposable,Roll-Down,Yes,Yellow,Foam,Cylinder,L,Corded,Blue,Blue,Metal,200,"Bulk Box, Wrapped Pairs",Pillow Pack,Metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2NFC8,"Bullet Ear Plugs,  32dB Noise Reduction Rating NRR,  Corded,  Universal,  Yellow,  PK 200",$93.09 ,/ pkg. of 200,safety,hearing-protection,"ear-plugs-metal-detectable"">Ear",Ear Plugs,,32dB,,,,E-A-Rsoft(TM),,ANSI S3.19-1974,,Disposable,Roll-Down,Yes,Yellow,Soft Foam,Bullet,Universal,Corded,Blue,Blue,Vinyl,200,"Bulk Box, Wrapped Pairs",Plastic Bag,Vinyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2NFC9,"Pod Ear Plugs,  25dB Noise Reduction Rating NRR,  Corded,  Universal,  Yellow,  PK 100",$140.40 ,/ pkg. of 100,safety,hearing-protection,"ear-plugs-metal-detectable"">Ear",Ear Plugs,,25dB,,,,E-A-R(TM) EXPRESS(TM) Pod Plugs(TM),,ANSI S3.19-1974,,Reusable,Push-In,Yes,Yellow,Soft Foam,Pod,Universal,Corded,Blue,Blue,Metal,100,Paper Wrapped Pair,Pillow Pack,Metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2RRZ6,"Two Ear Behind the Head Headset,  25dB Noise Reduction Rating NRR,  Black,  Noise Canceling Yes",$893.95 ,/ each,safety,hearing-protection,"headsets-for-communication"">Headsets",Headset,,25dB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1) ACK081 Rechargeable Battery, Charging Cable, and Power Supply",,,,,,,,,,,,,,,,Behind the Head,Over Ear,Two Ear,No,No,Yes,Black,,,,,,,,,,
2TV55,"Over-the-Head Electronic Ear Muffs,  19dB Noise Reduction Rating NRR,  Dielectric No,  Gray",$145.41 ,/ each,safety,hearing-protection,"earmuffs"">Earmuffs<",Electronic Ear Muffs,No,19dB,No Radio Band,Over-the-Head,Gray,Soundtrap(TM),Compact Electronic Hearing Protector For Hunters and Shooters,ANSI S3.19-1974,,,,,,,,,,Black,,,,,,"PVC, Stainless Steel",,,,,,,,,,Foam,Foldable,HY68 SV,,,13 oz.,,,Alkaline,,,,,,,,,,,,Yes,AAA,4,,,,,,,
30E883,"Ear Muffs, Behind-the-Neck, NRR 17dB",$36.11 ,/ each,safety,hearing-protection,"earmuffs"">Earmuffs<",Ear Muffs,No,17dB,,Behind-the-Neck,Gray,Specialty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30E884,"Over-the-Head Food Industry Ear Muffs,  25dB Noise Reduction Rating NRR,  Dielectric No,  Blue",$21.00 ,/ each,safety,hearing-protection,"earmuffs"">Earmuffs<",Food Industry Ear Muffs,No,25dB,,Over-the-Head,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30F054,"Ear Muffs, Folding, NRR 23dB",$20.63 ,/ each,safety,hearing-protection,"earmuffs"">Earmuffs<",Ear Muffs,Yes,23dB,,Folding,Orange,3M Folding Earmuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30F055,"Multi-Position Ear Muffs,  21dB Noise Reduction Rating NRR,  Dielectric Yes,  Red",$6.67 ,/ each,safety,hearing-protection,"earmuffs"">Earmuffs<",Ear Muffs,Yes,21dB,,Multi-Position,Red,3M(TM) Multi Position Earmuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30F056,Ear Muff Hygiene Kit,$11.73 ,/ each,safety,hearing-protection,"earmuffs"">Earmuffs<",Ear Muff Hygiene Kit,,,,,,,,,H505B Welding Earmuff,,,,,,,,,,,,,,,,,,,,,,Replacement Cushions and Inserts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30F058,"Pod Ear Plugs,  28dB Noise Reduction Rating NRR,  Uncorded,  M,  Yellow,  PK 200",$86.45 ,/ pkg. of 200,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,28dB,,,,E-A-R(TM) Push-Ins(TM),,ANSI S3.19-1974,,Reusable,Push-In,No,Yellow,Foam,Pod,M,Uncorded,,,,200,Bulk Box,Plastic Bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30F059,"Ear Muffs, Over-the-Head, NRR 21dB",$19.73 ,/ each,safety,hearing-protection,"earmuffs"">Earmuffs<",Ear Muffs,No,21dB,,Over-the-Head,Beige,Optime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30F060,"Ear Muffs, Hard Hat Mounted, NRR 23dB",$40.77 ,/ each,safety,hearing-protection,"earmuffs"">Earmuffs<",Ear Muffs,No,23dB,,Hard Hat Mounted,Orange,"H31 Hi-Viz, Specialty",,,Universal Mounting Attachment Which Fits Most Hard Hats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30FX18,"Bell Ear Plug Dispenser Refill,  33dB Noise Reduction Rating NRR,  M,  Yellow,  Metal Detectable No",$97.32 ,/ pkg. of 500,safety,hearing-protection,"earplug-dispensers-and-refills"">Earplug",Ear Plug Dispenser Refill,,33dB,,,,E-A-Rsoft(TM),,ANSI S3.19-1974,,Disposable,,No,Yellow,Foam,Bell,M,Uncorded,,,,500,Bulk Box,Loose,,,,,,,,,,,,,,391-1000,,,,,,,One Touch(TM),3FU82,,,,,,,,,,,,,,,,,,
30FX19,"Bell Ear Plug Dispenser Refill,  33dB Noise Reduction Rating NRR,  M,  Yellow,  Metal Detectable No",$97.99 ,/ pkg. of 500,safety,hearing-protection,"earplug-dispensers-and-refills"">Earplug",Ear Plug Dispenser Refill,,33dB,,,,E-A-Rsoft SuperFit(TM) One Touch(TM),,ANSI S3.19-1974,,Disposable,,No,Yellow,Foam,Bell,M,Uncorded,,,,500,Bulk Box,Loose,,,,,,,,,,,,,,391-1000,,,,,,,One Touch(TM),3FU82,,,,,,,,,,,,,,,,,,
30FX20,"Pod Ear Plugs,  28dB Noise Reduction Rating NRR,  Corded,  M,  Yellow,  PK 200",$133.00 ,/ pkg. of 200,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,28dB,,,,E-A-R(TM) Push-Ins(TM),,ANSI S3.19-1974,,Reusable,Push-In,No,Yellow,Foam,Pod,M,Corded,Blue,Blue,PVC,200,Bulk Box,Plastic Bag,PVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30FX21,"Flanged Ear Plugs,  25dB Noise Reduction Rating NRR,  Corded,  Universal,  Yellow,  PK 200",$268.95 ,/ pkg. of 200,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,25dB,,,,E-A-R(TM) UltraFit(TM),,ANSI S3.19-1974,,Reusable,Push-In,No,Yellow,Vinyl,Flanged,M,Corded,Blue,Blue,PVC,200,Bulk Box,Loose,PVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30FX22,"Flanged Ear Plugs,  25dB Noise Reduction Rating NRR,  Corded,  M,  Yellow,  PK 100",$169.86 ,/ pkg. of 100,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,25dB,,,,E-A-R(TM) UltraFit(TM),,ANSI S3.19-1974,,Reusable,Push-In,No,Yellow,Vinyl,Flanged,M,Corded,White,White,Cloth,100,Bulk Box,Pillow Pack,Cloth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30FX23,"Ear Plug Dispenser Refill, 33dB, PK400",$72.85 ,/ pkg. of 400,safety,hearing-protection,"earplug-dispensers-and-refills"">Earplug",Ear Plug Dispenser Refill,,33dB,,,,E-A-Rsoft(TM),,ANSI S3.19-1974,,Disposable,,No,Yellow,Foam,Bell,L,Uncorded,,,,400,Bulk Box,Loose,,,,,,,,,,,,,,391-1000,,,,,,,One Touch(TM),3FU82,,,,,,,,,,,,,,,,,,
30FX24,"Probed Test Ear Plugs, Bullet, PK10",$24.74 ,/ pkg. of 10,safety,hearing-protection,"ear-plug-fit-testing-systems"">Ear",Probed Test Ear Plugs,,,,,,E-A-Rfit(TM),,ANSI S3.19-1974,,Disposable,Roll-Down,No,Orange,Foam,Bullet,M,Uncorded,,,,10,"Bulk Bag, Unwrapped",Plastic Bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30FX25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30FX28,"Probed Test Ear Plugs, Bullet, PK10",$25.49 ,/ pkg. of 10,safety,hearing-protection,"ear-plug-fit-testing-systems"">Ear",Probed Test Ear Plugs,,,,,,E-A-Rfit(TM),,ANSI S3.19-1974,,Disposable,Roll-Down,No,Yellow,Foam,Bullet,L,Uncorded,,,,10,Bulk Box,Loose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31TU50,"Ear Plugs, Uncorded, Flanged, 25dB, PK100",$69.61 ,/ pkg. of 100,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,25dB,,,,ERB04,,ANSI S3.19,,Reusable,Push-In,No,Pink,TPE,Flanged,M,Uncorded,,,,100,Bulk Box,Plastic Bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31TU51,"Ear Plugs, Corded, Flanged, 25dB, PK100",$90.48 ,/ pkg. of 100,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,25dB,,,,ERB04C,,ANSI S3.19,,Reusable,Push-In,No,Pink,TPE,Flanged,M,Corded,Hi-Visibility Green,Hi-Visibility Green,Plastic,100,Bulk Box,Plastic Bag,Plastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32MU05,"Dual Mode Ear Plugs, Flanged, 24dB, PK50",$154.55 ,/ pkg. of 50,safety,hearing-protection,"ear-plugs"">Ear",Dual Mode Ear Plugs,,24dB,,,,Flip to Listen(TM),,ANSI S3.19-1974,,Reusable,Push-In,No,Green,Vinyl,Flanged,M,Corded,Green,Green,Cloth,50,Bulk Box,Plastic Case,Cloth,,,,,,,,,Does Not Contain PVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32MU06,"Bell Ear Plug Dispensing System,  33dB Noise Reduction Rating NRR,  M,  Multicolor",$59.28 ,/ pkg. of 150,safety,hearing-protection,"earplug-dispensers-and-refills"">Earplug",Ear Plug Dispensing System,,33dB,,,,SparkPlugs(R),,ANSI S3.19-1974,,Disposable,,No,Multicolor,Foam,Bell,M,Corded,Purple,Purple,Plastic,150,Bulk Box,Plastic Bag,Plastic,,,,,Wall,,"Mounting Bracket, Hardware",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32MU07,"Bell Ear Plug Dispensing System,  33dB Noise Reduction Rating NRR,  M,  Blue, White",$86.91 ,/ pkg. of 150,safety,hearing-protection,"earplug-dispensers-and-refills"">Earplug",Ear Plug Dispensing System,,33dB,,,,SparkPlugs(R),,ANSI S3.19-1974,,Disposable,,Yes,"Blue, White",Foam,Bell,M,Corded,Blue,Blue,Plastic,150,Bulk Box,Plastic Bag,Plastic,,,,,Wall,,"Mounting Bracket, Hardware",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32MU08,"Bell Ear Plug Dispensing System,  33dB Noise Reduction Rating NRR,  M,  Green,  Metal Detectable No",$59.28 ,/ pkg. of 150,safety,hearing-protection,"earplug-dispensers-and-refills"">Earplug",Ear Plug Dispensing System,,33dB,,,,Pura-Fit(R),,ANSI S3.19-1974,,Disposable,,No,Green,Foam,Bell,M,Corded,Purple,Purple,Plastic,150,Bulk Box,Plastic Bag,Plastic,,,,,Wall,,"Mounting Bracket, Hardware",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33Y713,"Ear Plugs, Corded, Flanged, 28dB, PK100",$124.51 ,/ pkg. of 100,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,28dB,,,,Snug Plugs,,ANSI Z24.23,,Reusable,Push-In,No,Orange,Silicone,Flanged,M,Corded,Black,Black,Nylon,100,Bulk Box,Plastic Case,Nylon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33Y738,"Ear Plugs, Uncorded, Custom Fit, 26dB",$14.34 ,/ each,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,26dB,,,,Custom Fit,,ANSI Z24.23,,Reusable,Push-In,No,Red,Vinyl,Custom Fit,M,Uncorded,,,,1,Bulk Box,Plastic Bag,,,,,,,,"Earplug Kit, Bag",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33Y739,"Ear Plugs, Uncorded, Custom Fit, 26dB",$15.19 ,/ each,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,26dB,,,,Custom Fit,,ANSI Z24.23,,Reusable,Push-In,No,Blue,Vinyl,Custom Fit,M,Uncorded,,,,1,Bulk Box,Plastic Bag,,,,,,,,"Earplug Kit, Bag",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33Y755,"Ear Muffs, Hard Hat Mounted, 26dB",$18.86 ,/ each,safety,hearing-protection,"earmuffs"">Earmuffs<",Ear Muffs,No,26dB,,Hard Hat Mounted,Black,,"Universal Design, Fits All Hard Hats",ANSI S3.19-1974,,,,,,,,,,Black,,,,,,Metal,,,,,,,,,,Foam,Rigid,,,,0.6 lb.,,,,,,,,,,,,,,,,,,,,,,,,
35DW96,"Safety Earphones,  Yellow",$63.60 ,/ each,electronics-appliances-and-batteries,electronics,"headphones"">Headphones<",Safety Earphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 Yellow Earphone w/ 4 Ft Cable and 3.5mm Plug, Zipper Pouch, Assortment of Eartips, Shirt Clip",,,,,,,,,,,,,,,,,,,,,,Yellow,,,,,,,,,,
35GJ64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35UX74,"Bell Ear Plugs,  31dB Noise Reduction Rating NRR,  Uncorded,  M,  Blue,  PK 200",$301.60 ,"/ pkg. of 2,000",safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,31dB,,,,GloPlugz(R),,ANSI S3.19-1974,,Disposable,,No,Blue,Soft Foam,Bell,M,Uncorded,,,,200,"Bulk Box, Wrapped Pairs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35UX75,"Bell Ear Plugs,  31dB Noise Reduction Rating NRR,  Corded,  M,  Blue,  PK 100",$24.12 ,/ pkg. of 100,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,31dB,,,,GloPlugz(R),,ANSI S3.19-1974,,Disposable,,No,Blue,Soft Foam,Bell,M,Corded,Purple,Purple,PVC,100,"Bulk Box, Wrapped Pairs",,PVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35UX77,"Flanged Ear Plugs,  25dB Noise Reduction Rating NRR,  Corded,  M,  Purple,  PK 100",$151.57 ,/ pkg. of 100,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,25dB,,,,Gateway Twisters,,ANSI S3.19-1974,,Reusable,,No,Purple,Rubber Vinyl,Flanged,M,Corded,Orange,Orange,,100,"Bulk Box, Wrapped Pairs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36G705,"Listen-Only Earpiece,  21/29dB Noise Reduction Rating NRR,  Black, Yellow",$107.35 ,/ each,safety,hearing-protection,"headsets-for-communication"">Headsets",Listen-Only Earpiece,,21/29dB,,,"Black, Yellow",,,,,,,,,,,,,,,,,,,,,,,,,,"Listen-Only Earpiece, 3.5mm Mono Plug 8"" Curly Cable",,,,,,,,,,,,3.5mm Mono Plug,,,,,,,,,,,,,,3.5mm Mono Jack,,,,,,
36G707,Belt Clip,$1.42 ,/ each,safety,hearing-protection,"headsets-for-communication"">Headsets",Belt Clip,,,,,,,,,All Ear Muffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36G708,"Ear Muffs, Over-the-Head, 23dB",$24.40 ,/ each,safety,hearing-protection,"earmuffs"">Earmuffs<",Ear Muffs,No,23dB,,Over-the-Head,Black,Leightning(R),"Padded Foam Headband, Removable Ear Cushions, Air Flow Control",ANSI S3.19-1974,,,,,,,,,,Black,,,,,,Metal,,,,,,,,,,Foam,Foldable,Leightning(R) L0F,1011998,3NKX2,8.3 oz.,,,,,,,,,,,,,,,,,,,,,,,,
36G709,"Over-the-Head Electronic Ear Muffs,  25dB Noise Reduction Rating NRR,  Dielectric No,  Black",$88.35 ,/ each,safety,hearing-protection,"headsets-for-communication"">Headsets",Electronic Ear Muffs,No,25dB,AM/FM,Over-the-Head,Black,Sync Radio,"Digital AM/FM Tuning with LCD Display, 10 Pre-Set Stations and Volume Memory, Clean, Crisp Digital Radio Reception and High-Fidelity Stereo Sound Quality, Lightweight Slim Earcup Design, Patented Air Flow Control Technology, Snap-In Ear Cushions",ANSI S3.19-1974,,,,,,,,,,Black,,,,,,Textile,,,,,,,,,,Foam,Rigid,Sync(TM) Stereo Earmuffs,,,13.2 oz.,,,,3.5mm Jack,,,,,,,,,,,Yes,AA,2,3.5mm Stereo Jack,Wired,Straight,,,,
36G710,"Over-the-Head Electronic Ear Muffs,  25dB Noise Reduction Rating NRR,  Dielectric No",$87.82 ,/ each,safety,hearing-protection,"headsets-for-communication"">Headsets",Electronic Ear Muffs,No,25dB,AM/FM,Over-the-Head,Hi-Visibility Green,Sync Radio,"Digital AM/FM Tuning with LCD Display, 10 Pre-Set Stations and Volume Memory, Clean, Crisp Digital Radio Reception and High-Fidelity Stereo Sound Quality, Lightweight Slim Earcup Design, Bright Green Earcups, Exclusive Reflective Headband",ANSI S3.19-1974,,,,,,,,,,Black,,,,,,Textile,,,,,,,,,,Foam,Rigid,Sync(TM) Stereo Earmuffs,,,13.2 oz.,,,,3.5mm Jack,,,,,,,,,,,Yes,AA,2,3.5mm Stereo Jack,Wired,Straight,,,,
36G711,"Electronic Ear Muff, 25dB, Over-the-Head",$139.26 ,/ each,safety,hearing-protection,"headsets-for-communication"">Headsets",Electronic Ear Muffs,No,25dB,FM,Over-the-Head,Black,Sync Electo,Sync Electro Sound Amplification,ANSI S3.19-1974,,,,,,,,,,Black,,,,,,Textile,,,,,,,,,,Foam,Rigid,Sync Electo,,,13.2 oz.,,,,3.5mm Jack,,,,,,,,,,,Yes,AA,2,3.5mm Stereo Jack,Wired,Straight,,,,
36G712,"Ear Muff Hygiene Kit,  For Use With Mfr. No. R-01526",$10.62 ,/ each,safety,hearing-protection,"earmuffs"">Earmuffs<",Ear Muff Hygiene Kit,,,,,,,,,Mfr. No. R-01526,,,,,,,,,,,,,,,,,,,,,,"Cushions, Inserts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36G713,"Cable, For Use With Mfr. No. R-01526",$6.09 ,/ each,safety,hearing-protection,"headsets-for-communication"">Headsets",Cable,,,,,,,,,Mfr. No. R-01526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36G714,Ear Muff Hygiene Kit,$6.49 ,/ each,safety,hearing-protection,"earmuffs"">Earmuffs<",Ear Muff Hygiene Kit,,,,,,,,,Mfr. No. QM24+,,,,,,,,,,,,,,,,,,,,,,"Cushions, Inserts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38ZD99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38ZE06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3AC62,"Bullet Ear Plugs,  32dB Noise Reduction Rating NRR,  Corded,  Universal,  Yellow,  PK 200",$62.06 ,/ pkg. of 200,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,32dB,,,,E-A-R TaperFit(TM) 2,,ANSI S3.19-1974,,Disposable,Roll-Down,No,Yellow,Soft Foam,Bullet,Universal,Corded,Blue,Blue,Vinyl,200,"Bulk Bag, Unwrapped",Loose,Vinyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3AX81,"Pod Ear Plugs,  25dB Noise Reduction Rating NRR,  Uncorded,  Universal,  Yellow,  PK 100",$70.20 ,/ pkg. of 100,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,25dB,,,,E-A-R(TM) EXPRESS(TM) Pod Plugs(TM),,ANSI S3.19-1974,,Reusable,Push-In,No,Yellow,Soft Foam,Pod,Universal,Uncorded,,,,100,Paper Wrapped Pair,Pillow Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3EAU3,"Bell Replacement Ear Plug Pods,  25dB Noise Reduction Rating NRR,  Corded,  M,  Green,  PK 5",$3.36 ,/ pkg. of 5,safety,hearing-protection,"ear-plugs"">Ear",Replacement Ear Plug Pods,,25dB,,,,JazzBand,,ANSI S3.19-1974,,Reusable,Push-In,No,Green,Foam,Bell,M,Corded,,Green,,5,Bulk Box,Plastic Bag,,,,,,,,Pair Replacement Pods,,,,,,6506,,,,,,,,3EAU4,JazzBand,,,,,,,,,,,,,,,,,
3EAU4,"Bell Hearing Band,  25dB Noise Reduction Rating NRR,  Banded,  Universal,  Green",$8.62 ,/ each,safety,hearing-protection,"ear-plugs"">Ear",Hearing Band,,25dB,,,,JazzBand,,ANSI S3.19-1974,,Reusable,Push-In,No,Green,Foam,Bell,M,Banded,Black/Bright Green,,,1,Bulk Box,Plastic Bag,Polycarbonate,,,,,,,Pair Replacement Pods,,Does Not Contain PVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3FU82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3GY48,"Bullet Ear Plugs,  33dB Noise Reduction Rating NRR,  Uncorded,  Universal,  Orange,  PK 200",$41.37 ,/ pkg. of 200,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,33dB,,,,E-A-Rsoft(TM) Yellow Neon Blasts(TM),,ANSI S3.19-1974,,Disposable,Roll-Down,No,Orange,Soft Foam,Bullet,Universal,Uncorded,,,,200,"Bulk Bag, Wrapped Pairs",Plastic Bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3GY49,"Bullet Ear Plugs,  33dB Noise Reduction Rating NRR,  Corded,  Universal,  Orange, Yellow,  PK 200",$63.65 ,/ pkg. of 200,safety,hearing-protection,"ear-plugs"">Ear",Ear Plugs,,33dB,,,,E-A-Rsoft(TM) Yellow Neon Blasts(TM),,ANSI S3.19-1974,,Disposable,Roll-Down,No,"Orange, Yellow",Soft Foam,Bullet,Universal,Corded,Orange,Orange,Vinyl,200,"Bulk Box, Wrapped Pairs",Plastic Bag,Vinyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3GY50,"Bell Ear Plug Dispenser Refill,  33dB Noise Reduction Rating NRR,  M,  Orange, Yellow",$97.99 ,/ pkg. of 500,safety,hearing-protection,"earplug-dispensers-and-refills"">Earplug",Ear Plug Dispenser Refill,,33dB,,,,E-A-Rsoft(TM) Blast(TM),,ANSI S3.19-1974,,Disposable,,No,"Orange, Yellow",Foam,Bell,M,Uncorded,,,,500,Bulk Box,Loose,,,,,,,,,,,,,,391-1000,,,,,,,One Touch(TM),3FU82,,,,,,,,,,,,,,,,,,
3GYD2,"Ear Plug Fit Test System, 250 to 4000 Hz","$4,268.32 ",/ each,safety,hearing-protection,"ear-plug-fit-testing-systems"">Ear",Ear Plug Fit Test System,,,,,,VeriPro(R),,,,,,,,,,,,,,,,,,,,,,,,,"Software, Audio Processor, Headphones, USB Cable, Quick Reference Guide, Replacement Ear Cushions, Carrying Case",,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 to 4000 Hz,"700Mhz CPU, 256MB RAM, 500MB HD, Windows XP with SP2 or later, Microsoft .NET Framework 2.0",,
3GYD3,"Over-the-Head Ear Muffs,  25dB Noise Reduction Rating NRR,  Dielectric No,  Gray",$13.16 ,/ each,safety,hearing-protection,"earmuffs"">Earmuffs<",Ear Muffs,No,25dB,,Over-the-Head,Gray,Leightning(R),"Air Flow Control Technology, Steel Wire Construction, Snap-In Ear Cushions, Padded Foam Headband",ANSI S3.19-1974,,,,,,,,,,Black,,,,,,PVC,,,,,,,,,,Foam,Rigid,Leightning(R) L1s Headband Earmuff,"1011998, 1016730, 1000365, 3302101, 1016870, 1016871","3NKX2, 36G707, 6AV10",0.5 lb.,,,,,,,,,,,,,,,,,,,,,,,,
3GYD4,"Ear Muffs, Behind-the-Neck, 28dB",$31.40 ,/ each,safety,hearing-protection,"earmuffs"">Earmuffs<",Ear Muffs,No,28dB,,Behind-the-Neck,Black,Leightning(R),"Air Flow Control Technology, Steel Wire Construction, Snap-In Ear Cushions, Neckband Style",ANSI S3.19-1974,"Hard Hats, Welding Shields",,,,,,,,,Black,,,,,,Plastic,,,,,,,Elastic Headband Strap,,,Foam,Rigid,Leightning(R) L3N Neckband Earmuff,1012000,3NKW7,9.7 oz.,,,,,,,,,,,,,,,,,,,,,,,,
3GYD5,"Ear Muffs, Over-the-Head, Dielectric, 20dB",$12.25 ,/ each,safety,hearing-protection,"earmuffs"">Earmuffs<",Ear Muffs,Yes,20dB,,Over-the-Head,Blue,Clarity,"Sound Management Technology, Dielectric/Plastic Construction, Multiple Position Wear, Nondeforming Outer Headband, Quick Click Height Adjustment, Snap-In Ear Cushions",ANSI S3.19-1974,,,,,,,,,,Black,,,,,,Plastic,,,,,,,,,,Foam,Rigid,Clarity C1,1006080,3NKX9,6.8 oz.,,,,,,,,,,,,,,,,,,,,,,,,
